Filename	Total Reads
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa.bam	111147
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa.bam	115829
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa.bam	35731
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v5.0.0.bwa.bam	181486
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa.bam	49896
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v5.0.0.bwa.bam	208119
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.bwa.bam	130842
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v5.0.0.bwa.bam	213235
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_fast@v3.bwa.bam	51771
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_hac@v3.bwa.bam	52667
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v3.0.1.bwa.bam	30455
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v5.0.0.bwa.bam	230481
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v3.0.1.bwa.bam	24285
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v5.0.0.bwa.bam	251457
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T4ref.bwa.bam	84594
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T5ref.bwa.bam	84796
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.bwa.bam	84351
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.T4ref.bwa.bam	250688
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.bwa.bam	250560
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_sup@v5.0.0.bwa.bam	341408
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_fast@v3.bwa.bam	69561
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_hac@v3.bwa.bam	71979
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v3.0.1.bwa.bam	65056
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v5.0.0.bwa.bam	118844
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v3.0.1.bwa.bam	61848
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v5.0.0.bwa.bam	128031
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.bwa.bam	98955
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v5.0.0.bwa.bam	133284
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v5.0.0.bwa.bam	311816
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v5.0.0.bwa.bam	645782
