Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa.bam	111061	3.236522e-01	159	6.2
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa.bam	130452	3.180299e-01	157	6.1
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa.bam	68573	3.540935e-01	164	6.5
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa.bam	119552	3.298100e-01	159	6.2
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa.bam	79851	3.498892e-01	163	6.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa.bam	90451	3.437048e-01	162	6.3
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa.bam	64747	3.428044e-01	168	7.0
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa.bam	66017	3.468571e-01	168	7.0
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa.bam	84092	2.911039e-01	166	6.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa.bam	70032	3.436067e-01	168	6.9
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa.bam	62489	3.487944e-01	169	7.0
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa.bam	66271	3.473068e-01	169	7.0
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa.bam	92886	3.144453e-01	178	6.0
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa.bam	87416	3.312419e-01	174	6.2
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa.bam	60463	3.568912e-01	177	6.4
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa.bam	98277	3.191461e-01	174	6.0
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa.bam	68407	3.512166e-01	175	6.4
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa.bam	73007	3.474217e-01	176	6.3
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa.bam	181780	3.378639e-01	188	6.7
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa.bam	185092	3.422061e-01	182	6.8
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa.bam	161624	3.508894e-01	185	6.9
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa.bam	192475	3.421961e-01	184	6.7
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa.bam	166466	3.473206e-01	182	6.9
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa.bam	224048	3.121184e-01	182	6.5
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa.bam	131773	3.095223e-01	186	5.9
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa.bam	124404	3.281130e-01	181	6.0
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa.bam	90522	3.543967e-01	181	6.3
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa.bam	136020	3.172712e-01	182	5.9
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa.bam	100119	3.494198e-01	180	6.2
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa.bam	107325	3.448043e-01	183	6.1
