Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa_full_length.bam	52520	3.421963e-01	169	6.5
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa_full_length.bam	62427	3.321318e-01	168	6.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa_full_length.bam	36996	3.757036e-01	171	6.7
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa_full_length.bam	58179	3.458680e-01	168	6.5
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa_full_length.bam	43760	3.690743e-01	171	6.7
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa_full_length.bam	47115	3.633198e-01	170	6.6
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa_full_length.bam	42942	3.523673e-01	170	7.3
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa_full_length.bam	45830	3.542527e-01	170	7.2
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa_full_length.bam	55136	2.916523e-01	168	7.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa_full_length.bam	47416	3.504899e-01	170	7.2
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa_full_length.bam	43116	3.579129e-01	170	7.3
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa_full_length.bam	45510	3.555915e-01	170	7.2
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa_full_length.bam	49145	3.230960e-01	173	6.6
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa_full_length.bam	49132	3.406660e-01	174	6.6
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa_full_length.bam	35683	3.735757e-01	174	6.8
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa_full_length.bam	52336	3.264340e-01	173	6.5
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa_full_length.bam	40456	3.647893e-01	174	6.7
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa_full_length.bam	42205	3.613705e-01	174	6.7
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa_full_length.bam	107058	3.519960e-01	180	7.3
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa_full_length.bam	114745	3.534959e-01	181	7.2
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa_full_length.bam	96514	3.687847e-01	180	7.4
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa_full_length.bam	115303	3.541321e-01	182	7.2
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa_full_length.bam	103209	3.634099e-01	180	7.3
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa_full_length.bam	132861	3.174711e-01	179	7.1
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.danRer11-mature-tRNAs.bwa_full_length.bam	71736	3.159889e-01	178	6.4
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.dm6-mature-tRNAs.bwa_full_length.bam	71619	3.358184e-01	178	6.4
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.ecoliK12MG1655-mature-tRNAs.bwa_full_length.bam	54751	3.682013e-01	179	6.6
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.hg38-mature-tRNAs.bwa_full_length.bam	75149	3.228754e-01	179	6.3
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.sacCer3-mature-tRNAs.bwa_full_length.bam	60799	3.607675e-01	178	6.5
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.tthermophila-numbered-mature-tRNAs.bwa_full_length.bam	63508	3.558862e-01	179	6.5
