Filename	Total Reads
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa_full_length.bam	85352
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa_full_length.bam	88031
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	14299
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	77916
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	18930
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	98479
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	62506
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	122758
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_fast@v3.bwa_full_length.bam	37836
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_hac@v3.bwa_full_length.bam	39049
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	15356
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	105124
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	12667
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	131920
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T4ref.bwa_full_length.bam	55462
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T5ref.bwa_full_length.bam	55675
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	55192
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.T4ref.bwa_full_length.bam	157174
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	157007
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	21304
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	21976
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	23723
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_fast@v3.bwa_full_length.bam	42449
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_hac@v3.bwa_full_length.bam	43337
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	32632
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	61484
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	32270
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	80834
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	52431
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	94375
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	20232
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	20785
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	22917
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	167290
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	162892
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	210569
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v3.0.1_70plusnts.bwa_full_length.bam	210556
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	99754
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	82719
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	120840
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_sup@v3.0.1_70plusnts.bwa_full_length.bam	120822
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_fast@v3.bwa_full_length.bam	11436
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_hac@v3.bwa_full_length.bam	11603
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	86929
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	94113
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	141494
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_sup@v3.0.1_70plusnts.bwa_full_length.bam	142130
