Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa_full_length.bam	85241	2.949268e-01	114	13.1
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_fast@v3.bwa_full_length.bam	209753	2.983279e-01	113	13.1
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa_full_length.bam	87919	2.816505e-01	117	21.2
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	14282	3.539968e-01	147	10.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	18898	3.231556e-01	150	9.1
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_hac@v3.bwa_full_length.bam	217855	2.845615e-01	116	21.2
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	94301	3.360104e-01	183	11.9
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	95221	3.113931e-01	170	10.5
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	132861	3.174711e-01	179	7.1
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	73030	3.329844e-01	176	11.5
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	77596	2.984158e-01	178	9.8
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	138917	3.107409e-01	184	6.6
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	54546	3.137595e-01	174	12.0
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	53000	2.856085e-01	171	10.2
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	69411	2.984794e-01	177	6.9
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_fast@v3.bwa_full_length.bam	11385	2.664396e-01	182	11.5
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_hac@v3.bwa_full_length.bam	11255	2.756167e-01	177	15.9
WTyeast002_diffligratios_20231113_1421_P2S-00519-A_PAS43478_c33fd818.rna002_70bps_fast@v3.bwa_full_length.bam	13257	2.653317e-01	182	11.5
WTyeast002_diffligratios_20231113_1421_P2S-00519-A_PAS43478_c33fd818.rna002_70bps_hac@v3.bwa_full_length.bam	13194	2.737246e-01	177	16.0
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	52326	2.997614e-01	178	12.0
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	59030	2.803507e-01	152	9.2
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	60419	2.928312e-01	161	6.7
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_fast@v3.bwa_full_length.bam	20099	2.695480e-01	151	12.1
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_hac@v3.bwa_full_length.bam	20547	2.678114e-01	151	17.2
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	41625	3.297276e-01	176	11.6
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	45541	3.018566e-01	171	9.8
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	71736	3.159889e-01	178	6.4
