"","Sample","Date","Instrument","Flowcell","Chemistry","BCModel","Version","TotalReads","FL Reads","ReadsMapped","ErrorRate","AverageLength","AverageQuality","PercentAligned"
"1","Drosophila","20231207","MN35252","FAX30455","rna002","fast","v3",182705,81006,110958,0.2930766,111,12.8,60.7306860786514
"2","Drosophila","20231207","MN35252","FAX30455","rna002","hac","v3",182723,92480,115594,0.279588,114,20.5,63.2618772677769
"3","Drosophila","20231208","MN31004","FAX73799","rna004","fast","v3",318003,203273,35643,0.3249231,134,10,11.2083848265582
"4","Drosophila","20231208","MN31004","FAX73799","rna004","fast","v5",321083,39548,181023,0.2978237,90,9.3,56.378880227231
"5","Drosophila","20231208","MN31004","FAX73799","rna004","hac","v3",317713,145524,49771,0.3045076,132,8.5,15.665396127952
"6","Drosophila","20231208","MN31004","FAX73799","rna004","hac","v5",324248,78628,207513,0.2770939,96,9.6,63.9982359181861
"7","Drosophila","20231208","MN31004","FAX73799","rna004","sup","v3",317036,208701,130452,0.3180299,157,6.1,41.14737758488
"8","Drosophila","20231208","MN31004","FAX73799","rna004","sup","v5",319746,115393,212278,0.2706281,102,12.2,66.3895717225548
"9","Ecoli","20231208","P2S-00519-A","PAS44628","rna002","fast","v3",80066,55841,51691,0.2358012,174,11.6,64.5604875977319
"10","Ecoli","20231208","P2S-00519-A","PAS44628","rna002","hac","v3",79997,54856,52571,0.2390324,169,16.4,65.7162143580384
"11","Ecoli","20240105","MN31004","FAX73799","rna004","fast","v3",112710,99788,30327,0.3343308,151,10.6,26.9071067340964
"12","Ecoli","20240105","MN31004","FAX73799","rna004","fast","v5",320629,76080,227438,0.2672184,97,10.1,70.9349435016795
"13","Ecoli","20240105","MN31004","FAX73799","rna004","hac","v3",112684,78100,24177,0.2941633,152,9.2,21.4555748819708
"14","Ecoli","20240105","MN31004","FAX73799","rna004","hac","v5",323649,124748,247692,0.228849,103,11,76.5310567930072
"15","Ecoli","20240105","MN31004","FAX73799","rna004","sup","v3",112700,102104,84092,0.2911039,166,6.7,74.6157941437445
"16","Ecoli","20240105","MN31004","FAX73799","rna004","sup","v5",318783,161404,246445,0.2097629,111,14.4,77.3080747718668
"17","Grandeyeast","20240105","P2S-00519-B","PAS98845","rna004","sup","v5",359591,303748,337142,0.249933,126,12.4,93.7570740090825
"18","HumanFibroblast","20231207","P2S-00519-B","PAS29437","rna002","fast","v3",185839,56075,69483,0.2773252,129,11.6,37.3888150495859
"19","HumanFibroblast","20231207","P2S-00519-B","PAS29437","rna002","hac","v3",185620,55296,71870,0.2722819,129,16.4,38.7188880508566
"20","HumanFibroblast","20231208","MN42516","FAX71838","rna004","fast","v3",148136,140124,64668,0.3286651,167,10.7,43.6544796673327
"21","HumanFibroblast","20231208","MN42516","FAX71838","rna004","fast","v5",147930,35118,118193,0.3024994,98,9.5,79.8979246941121
"22","HumanFibroblast","20231208","MN42516","FAX71838","rna004","hac","v3",148123,131465,61391,0.3080463,164,8.8,41.4459604517867
"23","HumanFibroblast","20231208","MN42516","FAX71838","rna004","hac","v5",148163,73164,127135,0.2811077,106,9.8,85.8075227958397
"24","HumanFibroblast","20231208","MN42516","FAX71838","rna004","sup","v3",148103,140257,98277,0.3191461,174,6,66.3571973558942
"25","HumanFibroblast","20231208","MN42516","FAX71838","rna004","sup","v5",147576,94242,132100,0.2717796,112,12.4,89.5131999783163
