Reference	Position	Spanning_Reads	Bases_Mapped	A_Freq	T_Freq	G_Freq	C_Freq	N_freq	MismatchFreq	InsertionFreq	DeletionFreq	BCErrorFreq	MeanQual
tRNA-Ala-GGC-1-1	1	1	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
tRNA-Ala-GGC-1-1	2	1	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
tRNA-Ala-GGC-1-1	3	1	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
tRNA-Ala-GGC-1-1	4	1	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
tRNA-Ala-GGC-1-1	5	1	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
tRNA-Ala-GGC-1-1	6	1	1	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
tRNA-Ala-GGC-1-1	7	1	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
tRNA-Ala-GGC-1-1	8	1	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
tRNA-Ala-GGC-1-1	9	3	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	10.666666666666666
tRNA-Ala-GGC-1-1	10	10	10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1
tRNA-Ala-GGC-1-1	11	24	24	0.875	0.0	0.08333333333333333	0.041666666666666664	0.0	0.125	0.0	0.0	0.125	15.541666666666666
tRNA-Ala-GGC-1-1	12	349	349	0.0028653295128939827	0.0	0.997134670487106	0.0	0.0	0.0028653295128939827	0.0	0.0	0.0028653295128939827	22.997134670487107
tRNA-Ala-GGC-1-1	13	451	448	0.9933035714285714	0.002232142857142857	0.002232142857142857	0.002232142857142857	0.0	0.006696428571428571	0.0	0.0066518847006651885	0.013303769401330377	24.154017857142858
tRNA-Ala-GGC-1-1	14	556	556	0.9964028776978417	0.0	0.0035971223021582736	0.0	0.0	0.0035971223021582736	0.0	0.0	0.0035971223021582736	30.56654676258993
tRNA-Ala-GGC-1-1	15	628	628	0.0015923566878980893	0.0	0.9984076433121019	0.0	0.0	0.0015923566878980893	0.0	0.0	0.0015923566878980893	40.47770700636943
tRNA-Ala-GGC-1-1	16	635	632	0.9920886075949367	0.0015822784810126582	0.0015822784810126582	0.004746835443037975	0.0	0.007911392405063292	0.0015822784810126582	0.004724409448818898	0.014173228346456693	42.04272151898734
tRNA-Ala-GGC-1-1	17	635	635	0.9921259842519685	0.0015748031496062992	0.006299212598425197	0.0	0.0	0.007874015748031496	0.0	0.0	0.007874015748031496	42.125984251968504
tRNA-Ala-GGC-1-1	18	635	634	0.0	0.0015772870662460567	0.9968454258675079	0.0015772870662460567	0.0	0.0031545741324921135	0.0015772870662460567	0.0015748031496062992	0.006299212598425197	36.429022082018925
tRNA-Ala-GGC-1-1	19	635	631	0.0	0.0	0.004754358161648178	0.9952456418383518	0.0	0.004754358161648178	0.030110935023771792	0.006299212598425197	0.04094488188976378	36.608557844690964
tRNA-Ala-GGC-1-1	20	635	632	0.0015822784810126582	0.0015822784810126582	0.0	0.9968354430379747	0.0	0.0031645569620253164	0.011075949367088608	0.004724409448818898	0.01889763779527559	37.004746835443036
tRNA-Ala-GGC-1-1	21	635	624	0.017628205128205128	0.969551282051282	0.0016025641025641025	0.011217948717948718	0.0	0.030448717948717948	0.014423076923076924	0.01732283464566929	0.06141732283464567	38.32211538461539
tRNA-Ala-GGC-1-1	22	635	607	0.029654036243822075	0.008237232289950576	0.9621087314662273	0.0	0.0	0.03789126853377265	0.0032948929159802307	0.04409448818897638	0.08346456692913386	39.81548599670511
tRNA-Ala-GGC-1-1	23	635	555	0.007207207207207207	0.0036036036036036037	0.9783783783783784	0.010810810810810811	0.0	0.021621621621621623	0.005405405405405406	0.12598425196850394	0.14960629921259844	39.7981981981982
tRNA-Ala-GGC-1-1	24	635	430	0.22325581395348837	0.5441860465116279	0.0	0.23255813953488372	0.0	1.0	0.002325581395348837	0.3228346456692913	1.0015748031496063	39.5
tRNA-Ala-GGC-1-1	25	635	629	0.017488076311605722	0.019077901430842606	0.9634340222575517	0.0	0.0	0.03656597774244833	0.017488076311605722	0.009448818897637795	0.06299212598425197	39.29888712241653
tRNA-Ala-GGC-1-1	26	635	634	0.011041009463722398	0.0031545741324921135	0.9810725552050473	0.00473186119873817	0.0	0.01892744479495268	0.007886435331230283	0.0015748031496062992	0.028346456692913385	38.44794952681388
tRNA-Ala-GGC-1-1	27	635	633	0.05055292259083728	0.0	0.9447077409162717	0.004739336492890996	0.0	0.05529225908372828	0.00315955766192733	0.0031496062992125984	0.06141732283464567	33.85781990521327
tRNA-Ala-GGC-1-1	28	635	631	0.004754358161648178	0.001584786053882726	0.9920760697305864	0.001584786053882726	0.0	0.00792393026941363	0.012678288431061807	0.006299212598425197	0.026771653543307086	22.545166402535656
tRNA-Ala-GGC-1-1	29	635	629	0.014308426073131956	0.003179650238473768	0.0047694753577106515	0.9777424483306836	0.0	0.022257551669316374	0.0047694753577106515	0.009448818897637795	0.03622047244094488	20.6724960254372
tRNA-Ala-GGC-1-1	30	635	585	0.08205128205128205	0.8940170940170941	0.020512820512820513	0.003418803418803419	0.0	0.10598290598290598	0.015384615384615385	0.07874015748031496	0.19055118110236222	19.107692307692307
tRNA-Ala-GGC-1-1	31	635	544	0.6488970588235294	0.007352941176470588	0.3088235294117647	0.034926470588235295	0.0	0.35110294117647056	0.05330882352941176	0.14330708661417324	0.48976377952755906	21.858455882352942
tRNA-Ala-GGC-1-1	32	635	572	0.006993006993006993	0.5821678321678322	0.008741258741258742	0.4020979020979021	0.0	0.4178321678321678	0.01048951048951049	0.09921259842519685	0.48503937007874015	23.132867132867133
tRNA-Ala-GGC-1-1	33	635	581	0.9380378657487092	0.012048192771084338	0.043029259896729774	0.0068846815834767644	0.0	0.06196213425129088	0.010327022375215147	0.08503937007874016	0.15118110236220472	27.91738382099828
tRNA-Ala-GGC-1-1	34	635	626	0.003194888178913738	0.012779552715654952	0.9712460063897763	0.012779552715654952	0.0	0.02875399361022364	0.003194888178913738	0.014173228346456693	0.04566929133858268	30.840255591054312
tRNA-Ala-GGC-1-1	35	635	621	0.001610305958132045	0.017713365539452495	0.001610305958132045	0.9790660225442834	0.0	0.020933977455716585	0.04508856682769726	0.02204724409448819	0.08661417322834646	29.122383252818036
tRNA-Ala-GGC-1-1	36	635	625	0.0816	0.8976	0.0	0.0208	0.0	0.1024	0.016	0.015748031496062992	0.13228346456692913	27.552
tRNA-Ala-GGC-1-1	37	635	622	0.00482315112540193	0.006430868167202572	0.0	0.9887459807073955	0.0	0.011254019292604502	0.01607717041800643	0.02047244094488189	0.047244094488188976	32.89228295819936
tRNA-Ala-GGC-1-1	38	635	631	0.9461172741679873	0.044374009508716325	0.001584786053882726	0.00792393026941363	0.0	0.05388272583201268	0.03328050713153724	0.006299212598425197	0.09291338582677165	27.705229793977814
tRNA-Ala-GGC-1-1	39	635	631	0.08874801901743265	0.004754358161648178	0.9033280507131537	0.003169572107765452	0.0	0.09667194928684628	0.006339144215530904	0.006299212598425197	0.10866141732283464	25.33122028526149
tRNA-Ala-GGC-1-1	40	635	633	0.08530805687203792	0.017377567140600316	0.004739336492890996	0.8925750394944708	0.0	0.10742496050552923	0.05687203791469194	0.0031496062992125984	0.16692913385826771	25.218009478672986
tRNA-Ala-GGC-1-1	41	635	624	0.016025641025641024	0.9551282051282052	0.004807692307692308	0.02403846153846154	0.0	0.04487179487179487	0.08333333333333333	0.01732283464566929	0.14330708661417324	31.677884615384617
tRNA-Ala-GGC-1-1	42	635	609	0.05582922824302135	0.029556650246305417	0.9014778325123153	0.013136288998357963	0.0	0.09852216748768473	0.22988505747126436	0.04094488188976378	0.35590551181102364	35.42528735632184
tRNA-Ala-GGC-1-1	43	635	624	0.01282051282051282	0.011217948717948718	0.9663461538461539	0.009615384615384616	0.0	0.03365384615384615	0.020833333333333332	0.01732283464566929	0.07086614173228346	40.36057692307692
tRNA-Ala-GGC-1-1	44	635	621	0.008051529790660225	0.00644122383252818	0.961352657004831	0.024154589371980676	0.0	0.03864734299516908	0.00322061191626409	0.02204724409448819	0.06299212598425197	37.249597423510465
tRNA-Ala-GGC-1-1	45	635	601	0.9600665557404326	0.0066555740432612314	0.024958402662229616	0.008319467554076539	0.0	0.03993344425956739	0.016638935108153077	0.05354330708661417	0.10708661417322834	37.044925124792016
tRNA-Ala-GGC-1-1	46	635	626	0.004792332268370607	0.004792332268370607	0.9760383386581469	0.01437699680511182	0.0	0.023961661341853034	0.011182108626198083	0.014173228346456693	0.048818897637795275	32.677316293929714
tRNA-Ala-GGC-1-1	47	635	632	0.9620253164556962	0.004746835443037975	0.022151898734177215	0.011075949367088608	0.0	0.0379746835443038	0.0031645569620253164	0.004724409448818898	0.04566929133858268	24.6376582278481
tRNA-Ala-GGC-1-1	48	635	629	0.0047694753577106515	0.003179650238473768	0.9872813990461049	0.0047694753577106515	0.0	0.012718600953895072	0.001589825119236884	0.009448818897637795	0.023622047244094488	22.939586645469
tRNA-Ala-GGC-1-1	49	635	627	0.02711323763955343	0.03827751196172249	0.007974481658692184	0.9266347687400319	0.0	0.0733652312599681	0.006379585326953748	0.012598425196850394	0.09133858267716535	18.228070175438596
tRNA-Ala-GGC-1-1	50	635	596	0.03691275167785235	0.028523489932885907	0.9228187919463087	0.01174496644295302	0.0	0.07718120805369127	0.02181208053691275	0.06141732283464567	0.15433070866141732	16.459731543624162
tRNA-Ala-GGC-1-1	51	635	605	0.01487603305785124	0.049586776859504134	0.001652892561983471	0.9338842975206612	0.0	0.06611570247933884	0.03140495867768595	0.047244094488188976	0.14015748031496064	16.92396694214876
tRNA-Ala-GGC-1-1	52	635	455	0.026373626373626374	0.610989010989011	0.013186813186813187	0.34945054945054943	0.0	0.389010989010989	0.08791208791208792	0.28346456692913385	0.6251968503937008	16.501098901098903
tRNA-Ala-GGC-1-1	53	635	589	0.027164685908319185	0.8930390492359932	0.025466893039049237	0.05432937181663837	0.0	0.10696095076400679	0.0933786078098472	0.07244094488188976	0.25826771653543307	21.032258064516128
tRNA-Ala-GGC-1-1	54	635	614	0.035830618892508145	0.006514657980456026	0.9332247557003257	0.024429967426710098	0.0	0.06677524429967427	0.009771986970684038	0.03307086614173228	0.10708661417322834	22.51628664495114
tRNA-Ala-GGC-1-1	55	635	628	0.009554140127388535	0.0	0.0031847133757961785	0.9872611464968153	0.0	0.012738853503184714	0.02388535031847134	0.011023622047244094	0.047244094488188976	22.154458598726116
tRNA-Ala-GGC-1-1	56	635	571	0.8371278458844134	0.010507880910683012	0.008756567425569177	0.1436077057793345	0.0	0.1628721541155867	0.0017513134851138354	0.10078740157480315	0.24881889763779527	22.583187390542907
tRNA-Ala-GGC-1-1	57	635	591	0.011844331641285956	0.856175972927242	0.018612521150592216	0.11336717428087986	0.0	0.14382402707275804	0.01015228426395939	0.06929133858267716	0.2125984251968504	23.126903553299492
tRNA-Ala-GGC-1-1	58	635	567	0.01763668430335097	0.003527336860670194	0.9329805996472663	0.04585537918871252	0.0	0.06701940035273368	0.029982363315696647	0.10708661417322834	0.19370078740157481	22.99647266313933
tRNA-Ala-GGC-1-1	59	635	615	0.011382113821138212	0.011382113821138212	0.8585365853658536	0.11869918699186992	0.0	0.14146341463414633	0.013008130081300813	0.031496062992125984	0.18110236220472442	18.91869918699187
tRNA-Ala-GGC-1-1	60	635	626	0.012779552715654952	0.0	0.001597444089456869	0.9856230031948882	0.0	0.01437699680511182	0.036741214057507986	0.014173228346456693	0.06456692913385827	17.78594249201278
tRNA-Ala-GGC-1-1	61	635	547	0.7586837294332724	0.003656307129798903	0.016453382084095063	0.22120658135283364	0.0	0.2413162705667276	0.009140767824497258	0.13858267716535433	0.3543307086614173	16.592321755027424
tRNA-Ala-GGC-1-1	62	635	562	0.02491103202846975	0.8843416370106761	0.04448398576512456	0.046263345195729534	0.0	0.11565836298932385	0.017793594306049824	0.11496062992125984	0.23307086614173228	11.254448398576512
tRNA-Ala-GGC-1-1	63	635	561	0.0071301247771836	0.0053475935828877	0.9162210338680927	0.07130124777183601	0.0	0.08377896613190731	0.0106951871657754	0.11653543307086614	0.2	9.20855614973262
tRNA-Ala-GGC-1-1	64	635	598	0.010033444816053512	0.008361204013377926	0.01839464882943144	0.9632107023411371	0.0	0.03678929765886288	0.05351170568561873	0.05826771653543307	0.14330708661417324	8.157190635451505
tRNA-Ala-GGC-1-1	65	635	482	0.4190871369294606	0.043568464730290454	0.026970954356846474	0.5103734439834025	0.0	0.5809128630705395	0.026970954356846474	0.2409448818897638	0.7023622047244095	6.788381742738589
tRNA-Ala-GGC-1-1	66	635	525	0.5485714285714286	0.12380952380952381	0.10857142857142857	0.21904761904761905	0.0	0.4514285714285714	0.02666666666666667	0.1732283464566929	0.568503937007874	6.352380952380952
tRNA-Ala-GGC-1-1	67	635	536	0.0018656716417910447	0.020522388059701493	0.7854477611940298	0.1921641791044776	0.0	0.21455223880597016	0.0	0.15590551181102363	0.33700787401574805	6.67910447761194
tRNA-Ala-GGC-1-1	68	635	485	0.5896907216494846	0.18350515463917524	0.09896907216494845	0.12783505154639174	0.0	0.41030927835051545	0.03711340206185567	0.23622047244094488	0.5779527559055118	6.698969072164949
tRNA-Ala-GGC-1-1	69	635	492	0.028455284552845527	0.10365853658536585	0.6727642276422764	0.1951219512195122	0.0	0.32723577235772355	0.018292682926829267	0.2251968503937008	0.49291338582677163	7.510162601626016
tRNA-Ala-GGC-1-1	70	635	517	0.05222437137330754	0.1528046421663443	0.36363636363636365	0.43133462282398455	0.0	0.6363636363636364	0.0425531914893617	0.1858267716535433	0.7385826771653543	7.7678916827853
